
courselevel(course0, level_500).
publication(title10 , person13).
publication(title10 , person240).
publication(title110 , person14).
publication(title110 , person407).
publication(title111 , person306).
publication(title111 , person393).
publication(title112 , person347).
publication(title113 , person211).
publication(title113 , person407).
publication(title114 , person211).
publication(title114 , person407).
publication(title115 , person380).
publication(title115 , person79).
publication(title116 , person342).
publication(title116 , person393).
publication(title116 , person410).
publication(title116 , person81).
publication(title118 , person14).
publication(title118 , person150).
publication(title118 , person208).
publication(title118 , person318).
publication(title118 , person353).
publication(title118 , person408).
publication(title119 , person240).
publication(title119 , person257).
publication(title11 , person211).
publication(title11 , person407).
publication(title120 , person347).
publication(title120 , person407).
publication(title122 , person262).
publication(title122 , person415).
publication(title123 , person142).
publication(title123 , person393).
publication(title125 , person148).
publication(title125 , person171).
publication(title126 , person298).
publication(title126 , person77).
publication(title127 , person331).
publication(title127 , person378).
publication(title128 , person298).
publication(title128 , person77).
publication(title129 , person165).
publication(title129 , person29).
publication(title12 , person407).
publication(title12 , person415).
publication(title130 , person335).
publication(title130 , person5).
publication(title132 , person211).
publication(title132 , person407).
publication(title135 , person342).
publication(title135 , person393).
publication(title136 , person331).
publication(title136 , person378).
publication(title137 , person206).
publication(title137 , person322).
publication(title137 , person342).
publication(title137 , person72).
publication(title138 , person165).
publication(title138 , person331).
publication(title13 , person13).
publication(title13 , person240).
publication(title140 , person240).
publication(title140 , person415).
publication(title142 , person183).
publication(title142 , person429).
publication(title147 , person171).
publication(title147 , person415).
publication(title147 , person63).
publication(title14 , person335).
publication(title14 , person429).
publication(title150 , person148).
publication(title150 , person171).
publication(title152 , person331).
publication(title152 , person378).
publication(title153 , person306).
publication(title153 , person393).
publication(title154 , person331).
publication(title154 , person378).
publication(title155 , person165).
publication(title155 , person29).
publication(title158 , person324).
publication(title158 , person331).
publication(title159 , person331).
publication(title159 , person75).
publication(title15 , person342).
publication(title15 , person410).
publication(title160 , person211).
publication(title160 , person407).
publication(title161 , person13).
publication(title161 , person240).
publication(title162 , person185).
publication(title162 , person193).
publication(title164 , person331).
publication(title164 , person378).
publication(title165 , person211).
publication(title165 , person407).
publication(title166 , person292).
publication(title166 , person352).
publication(title167 , person240).
publication(title167 , person407).
publication(title170 , person171).
publication(title170 , person314).
publication(title171 , person161).
publication(title171 , person407).
publication(title172 , person314).
publication(title172 , person415).
publication(title175 , person165).
publication(title175 , person242).
publication(title175 , person29).
publication(title177 , person240).
publication(title177 , person407).
publication(title178 , person171).
publication(title178 , person63).
publication(title179 , person407).
publication(title179 , person415).
publication(title181 , person300).
publication(title181 , person342).
publication(title181 , person393).
publication(title182 , person407).
publication(title182 , person415).
publication(title182 , person63).
publication(title183 , person394).
publication(title183 , person72).
publication(title184 , person165).
publication(title184 , person29).
publication(title185 , person113).
publication(title185 , person404).
publication(title18 , person298).
publication(title18 , person77).
publication(title190 , person211).
publication(title190 , person407).
publication(title192 , person240).
publication(title192 , person407).
publication(title193 , person165).
publication(title193 , person378).
publication(title195 , person380).
publication(title195 , person79).
publication(title199 , person211).
publication(title199 , person407).
publication(title19 , person324).
publication(title19 , person331).
publication(title1 , person393).
publication(title1 , person40).
publication(title200 , person165).
publication(title200 , person29).
publication(title201 , person404).
publication(title201 , person72).
publication(title202 , person331).
publication(title202 , person378).
publication(title203 , person113).
publication(title203 , person404).
publication(title205 , person165).
publication(title205 , person242).
publication(title205 , person29).
publication(title207 , person211).
publication(title207 , person407).
publication(title208 , person240).
publication(title208 , person352).
publication(title208 , person415).
publication(title20 , person331).
publication(title20 , person75).
publication(title210 , person138).
publication(title210 , person324).
publication(title212 , person211).
publication(title212 , person407).
publication(title215 , person165).
publication(title215 , person242).
publication(title215 , person29).
publication(title216 , person298).
publication(title216 , person77).
publication(title217 , person161).
publication(title217 , person240).
publication(title217 , person407).
publication(title218 , person211).
publication(title218 , person407).
publication(title21 , person324).
publication(title21 , person331).
publication(title220 , person142).
publication(title220 , person393).
publication(title222 , person314).
publication(title222 , person415).
publication(title222 , person63).
publication(title224 , person347).
publication(title224 , person407).
publication(title225 , person171).
publication(title225 , person63).
publication(title226 , person380).
publication(title226 , person79).
publication(title228 , person211).
publication(title228 , person407).
publication(title229 , person211).
publication(title229 , person407).
publication(title231 , person380).
publication(title231 , person79).
publication(title233 , person211).
publication(title233 , person407).
publication(title235 , person298).
publication(title235 , person77).
publication(title236 , person415).
publication(title236 , person63).
publication(title238 , person211).
publication(title238 , person407).
publication(title240 , person211).
publication(title240 , person407).
publication(title241 , person211).
publication(title241 , person407).
publication(title243 , person331).
publication(title243 , person378).
publication(title248 , person13).
publication(title248 , person240).
publication(title24 , person211).
publication(title24 , person407).
publication(title250 , person161).
publication(title250 , person407).
publication(title254 , person240).
publication(title254 , person257).
publication(title255 , person211).
publication(title255 , person407).
publication(title257 , person183).
publication(title257 , person429).
publication(title258 , person407).
publication(title258 , person415).
publication(title259 , person211).
publication(title259 , person407).
publication(title25 , person21).
publication(title25 , person211).
publication(title25 , person284).
publication(title25 , person407).
publication(title260 , person347).
publication(title260 , person407).
publication(title261 , person262).
publication(title261 , person352).
publication(title261 , person406).
publication(title261 , person63).
publication(title263 , person142).
publication(title263 , person342).
publication(title266 , person407).
publication(title266 , person415).
publication(title268 , person161).
publication(title268 , person240).
publication(title268 , person407).
publication(title269 , person171).
publication(title269 , person415).
publication(title269 , person73).
publication(title26 , person13).
publication(title26 , person240).
publication(title270 , person240).
publication(title270 , person407).
publication(title271 , person161).
publication(title271 , person407).
publication(title272 , person342).
publication(title272 , person393).
publication(title272 , person410).
publication(title273 , person407).
publication(title273 , person415).
publication(title274 , person240).
publication(title274 , person257).
publication(title275 , person13).
publication(title275 , person240).
publication(title276 , person249).
publication(title276 , person331).
publication(title279 , person242).
publication(title279 , person29).
publication(title27 , person324).
publication(title27 , person331).
publication(title283 , person407).
publication(title283 , person415).
publication(title284 , person14).
publication(title284 , person407).
publication(title287 , person138).
publication(title287 , person242).
publication(title287 , person77).
publication(title290 , person262).
publication(title290 , person415).
publication(title291 , person165).
publication(title291 , person242).
publication(title291 , person29).
publication(title292 , person211).
publication(title292 , person407).
publication(title295 , person314).
publication(title295 , person415).
publication(title297 , person407).
publication(title297 , person415).
publication(title298 , person298).
publication(title298 , person77).
publication(title29 , person262).
publication(title29 , person415).
publication(title301 , person314).
publication(title301 , person415).
publication(title301 , person63).
publication(title302 , person217).
publication(title302 , person342).
publication(title302 , person72).
publication(title304 , person241).
publication(title304 , person342).
publication(title304 , person393).
publication(title304 , person81).
publication(title307 , person165).
publication(title307 , person29).
publication(title308 , person331).
publication(title308 , person378).
publication(title309 , person298).
publication(title309 , person77).
publication(title30 , person394).
publication(title30 , person72).
publication(title310 , person211).
publication(title310 , person407).
publication(title311 , person298).
publication(title311 , person77).
publication(title312 , person407).
publication(title312 , person415).
publication(title314 , person262).
publication(title314 , person352).
publication(title314 , person406).
publication(title314 , person63).
publication(title316 , person14).
publication(title316 , person407).
publication(title317 , person298).
publication(title317 , person77).
publication(title318 , person380).
publication(title318 , person79).
publication(title321 , person165).
publication(title321 , person242).
publication(title321 , person29).
publication(title322 , person393).
publication(title322 , person40).
publication(title323 , person211).
publication(title323 , person407).
publication(title324 , person165).
publication(title324 , person29).
publication(title325 , person211).
publication(title325 , person415).
publication(title325 , person45).
publication(title325 , person83).
publication(title326 , person378).
publication(title326 , person397).
publication(title327 , person331).
publication(title327 , person378).
publication(title328 , person331).
publication(title328 , person378).
publication(title329 , person211).
publication(title329 , person415).
publication(title329 , person45).
publication(title330 , person165).
publication(title330 , person242).
publication(title330 , person29).
publication(title331 , person161).
publication(title331 , person240).
publication(title331 , person407).
publication(title333 , person13).
publication(title333 , person240).
publication(title334 , person331).
publication(title334 , person378).
publication(title335 , person211).
publication(title335 , person407).
publication(title337 , person240).
publication(title337 , person415).
publication(title338 , person347).
publication(title33 , person240).
publication(title33 , person407).
publication(title340 , person240).
publication(title340 , person415).
publication(title341 , person211).
publication(title341 , person407).
publication(title344 , person13).
publication(title344 , person240).
publication(title345 , person211).
publication(title345 , person407).
publication(title346 , person393).
publication(title346 , person40).
publication(title347 , person407).
publication(title347 , person415).
publication(title35 , person300).
publication(title35 , person342).
publication(title35 , person393).
publication(title38 , person407).
publication(title38 , person415).
publication(title40 , person239).
publication(title40 , person293).
publication(title41 , person262).
publication(title41 , person292).
publication(title41 , person415).
publication(title44 , person211).
publication(title44 , person415).
publication(title44 , person45).
publication(title45 , person342).
publication(title45 , person393).
publication(title45 , person410).
publication(title45 , person81).
publication(title47 , person240).
publication(title47 , person292).
publication(title47 , person352).
publication(title47 , person415).
publication(title49 , person211).
publication(title49 , person407).
publication(title4 , person300).
publication(title4 , person393).
publication(title50 , person292).
publication(title50 , person352).
publication(title54 , person13).
publication(title54 , person240).
publication(title55 , person161).
publication(title55 , person407).
publication(title59 , person211).
publication(title59 , person407).
publication(title5 , person407).
publication(title5 , person415).
publication(title5 , person63).
publication(title60 , person393).
publication(title60 , person410).
publication(title62 , person138).
publication(title62 , person324).
publication(title63 , person171).
publication(title63 , person415).
publication(title63 , person73).
publication(title66 , person242).
publication(title66 , person29).
publication(title70 , person171).
publication(title70 , person415).
publication(title71 , person14).
publication(title71 , person211).
publication(title71 , person407).
publication(title72 , person262).
publication(title72 , person292).
publication(title72 , person415).
publication(title73 , person249).
publication(title73 , person331).
publication(title77 , person298).
publication(title77 , person77).
publication(title79 , person211).
publication(title79 , person352).
publication(title79 , person415).
publication(title79 , person45).
publication(title82 , person240).
publication(title82 , person352).
publication(title82 , person415).
publication(title84 , person13).
publication(title84 , person240).
publication(title85 , person342).
publication(title85 , person393).
publication(title86 , person262).
publication(title86 , person347).
publication(title86 , person352).
publication(title86 , person406).
publication(title86 , person63).
publication(title87 , person352).
publication(title87 , person415).
publication(title88 , person211).
publication(title88 , person407).
publication(title89 , person211).
publication(title89 , person407).
publication(title90 , person148).
publication(title90 , person171).
publication(title92 , person240).
publication(title92 , person407).
publication(title93 , person393).
publication(title93 , person410).
publication(title94 , person171).
publication(title94 , person415).
publication(title95 , person249).
publication(title95 , person331).
publication(title97 , person347).
publication(title97 , person63).
publication(title99 , person300).
publication(title99 , person435).
samecourse(course0, course0).
samecourse(course101, course101).
samecourse(course103, course103).
samecourse(course104, course104).
samecourse(course107, course107).
samecourse(course108, course108).
samecourse(course109, course109).
samecourse(course110, course110).
samecourse(course114, course114).
samecourse(course115, course115).
samecourse(course117, course117).
samecourse(course118, course118).
samecourse(course119, course119).
samecourse(course11, course11).
samecourse(course121, course121).
samecourse(course122, course122).
samecourse(course123, course123).
samecourse(course124, course124).
samecourse(course125, course125).
samecourse(course126, course126).
samecourse(course128, course128).
samecourse(course12, course12).
samecourse(course131, course131).
samecourse(course132, course132).
samecourse(course134, course134).
samecourse(course135, course135).
samecourse(course136, course136).
samecourse(course137, course137).
samecourse(course138, course138).
samecourse(course13, course13).
samecourse(course141, course141).
samecourse(course143, course143).
samecourse(course144, course144).
samecourse(course146, course146).
samecourse(course147, course147).
samecourse(course148, course148).
samecourse(course149, course149).
samecourse(course150, course150).
samecourse(course152, course152).
samecourse(course153, course153).
samecourse(course154, course154).
samecourse(course155, course155).
samecourse(course156, course156).
samecourse(course157, course157).
samecourse(course158, course158).
samecourse(course159, course159).
samecourse(course15, course15).
samecourse(course160, course160).
samecourse(course161, course161).
samecourse(course164, course164).
samecourse(course165, course165).
samecourse(course168, course168).
samecourse(course169, course169).
samecourse(course16, course16).
samecourse(course170, course170).
samecourse(course172, course172).
samecourse(course173, course173).
samecourse(course19, course19).
samecourse(course1, course1).
samecourse(course24, course24).
samecourse(course27, course27).
samecourse(course28, course28).
samecourse(course29, course29).
samecourse(course32, course32).
samecourse(course35, course35).
samecourse(course36, course36).
samecourse(course39, course39).
samecourse(course3, course3).
samecourse(course40, course40).
samecourse(course41, course41).
samecourse(course44, course44).
samecourse(course46, course46).
samecourse(course49, course49).
samecourse(course50, course50).
samecourse(course51, course51).
samecourse(course52, course52).
samecourse(course53, course53).
samecourse(course54, course54).
samecourse(course56, course56).
samecourse(course57, course57).
samecourse(course63, course63).
samecourse(course64, course64).
samecourse(course65, course65).
samecourse(course66, course66).
samecourse(course67, course67).
samecourse(course68, course68).
samecourse(course71, course71).
samecourse(course76, course76).
samecourse(course77, course77).
samecourse(course79, course79).
samecourse(course7, course7).
samecourse(course82, course82).
samecourse(course83, course83).
samecourse(course84, course84).
samecourse(course85, course85).
samecourse(course86, course86).
samecourse(course89, course89).
samecourse(course91, course91).
samecourse(course93, course93).
samecourse(course97, course97).
samecourse(course98, course98).
sameperson(person102, person102).
sameperson(person103, person103).
sameperson(person105, person105).
sameperson(person108, person108).
sameperson(person111, person111).
sameperson(person113, person113).
sameperson(person115, person115).
sameperson(person118, person118).
sameperson(person119, person119).
sameperson(person122, person122).
sameperson(person125, person125).
sameperson(person131, person131).
sameperson(person138, person138).
sameperson(person139, person139).
sameperson(person13, person13).
sameperson(person140, person140).
sameperson(person141, person141).
sameperson(person142, person142).
sameperson(person144, person144).
sameperson(person146, person146).
sameperson(person148, person148).
sameperson(person149, person149).
sameperson(person14, person14).
sameperson(person150, person150).
sameperson(person157, person157).
sameperson(person158, person158).
sameperson(person159, person159).
sameperson(person161, person161).
sameperson(person163, person163).
sameperson(person165, person165).
sameperson(person166, person166).
sameperson(person168, person168).
sameperson(person171, person171).
sameperson(person172, person172).
sameperson(person176, person176).
sameperson(person178, person178).
sameperson(person181, person181).
sameperson(person182, person182).
sameperson(person183, person183).
sameperson(person185, person185).
sameperson(person188, person188).
sameperson(person189, person189).
sameperson(person18, person18).
sameperson(person191, person191).
sameperson(person193, person193).
sameperson(person195, person195).
sameperson(person200, person200).
sameperson(person201, person201).
sameperson(person203, person203).
sameperson(person205, person205).
sameperson(person206, person206).
sameperson(person208, person208).
sameperson(person20, person20).
sameperson(person211, person211).
sameperson(person214, person214).
sameperson(person217, person217).
sameperson(person21, person21).
sameperson(person226, person226).
sameperson(person228, person228).
sameperson(person230, person230).
sameperson(person231, person231).
sameperson(person232, person232).
sameperson(person233, person233).
sameperson(person237, person237).
sameperson(person239, person239).
sameperson(person23, person23).
sameperson(person240, person240).
sameperson(person241, person241).
sameperson(person242, person242).
sameperson(person248, person248).
sameperson(person249, person249).
sameperson(person257, person257).
sameperson(person258, person258).
sameperson(person259, person259).
sameperson(person261, person261).
sameperson(person262, person262).
sameperson(person263, person263).
sameperson(person265, person265).
sameperson(person266, person266).
sameperson(person270, person270).
sameperson(person271, person271).
sameperson(person272, person272).
sameperson(person275, person275).
sameperson(person276, person276).
sameperson(person278, person278).
sameperson(person279, person279).
sameperson(person27, person27).
sameperson(person283, person283).
sameperson(person284, person284).
sameperson(person286, person286).
sameperson(person287, person287).
sameperson(person288, person288).
sameperson(person292, person292).
sameperson(person293, person293).
sameperson(person294, person294).
sameperson(person296, person296).
sameperson(person298, person298).
sameperson(person29, person29).
sameperson(person300, person300).
sameperson(person303, person303).
sameperson(person306, person306).
sameperson(person309, person309).
sameperson(person310, person310).
sameperson(person311, person311).
sameperson(person312, person312).
sameperson(person314, person314).
sameperson(person315, person315).
sameperson(person317, person317).
sameperson(person318, person318).
sameperson(person319, person319).
sameperson(person31, person31).
sameperson(person320, person320).
sameperson(person321, person321).
sameperson(person322, person322).
sameperson(person324, person324).
sameperson(person325, person325).
sameperson(person327, person327).
sameperson(person328, person328).
sameperson(person331, person331).
sameperson(person333, person333).
sameperson(person335, person335).
sameperson(person342, person342).
sameperson(person347, person347).
sameperson(person348, person348).
sameperson(person349, person349).
sameperson(person350, person350).
sameperson(person351, person351).
sameperson(person352, person352).
sameperson(person353, person353).
sameperson(person356, person356).
sameperson(person35, person35).
sameperson(person361, person361).
sameperson(person362, person362).
sameperson(person363, person363).
sameperson(person364, person364).
sameperson(person36, person36).
sameperson(person370, person370).
sameperson(person377, person377).
sameperson(person378, person378).
sameperson(person37, person37).
sameperson(person380, person380).
sameperson(person381, person381).
sameperson(person382, person382).
sameperson(person383, person383).
sameperson(person384, person384).
sameperson(person38, person38).
sameperson(person390, person390).
sameperson(person392, person392).
sameperson(person393, person393).
sameperson(person394, person394).
sameperson(person397, person397).
sameperson(person39, person39).
sameperson(person3, person3).
sameperson(person400, person400).
sameperson(person401, person401).
sameperson(person404, person404).
sameperson(person406, person406).
sameperson(person407, person407).
sameperson(person408, person408).
sameperson(person40, person40).
sameperson(person410, person410).
sameperson(person412, person412).
sameperson(person415, person415).
sameperson(person416, person416).
sameperson(person418, person418).
sameperson(person41, person41).
sameperson(person420, person420).
sameperson(person422, person422).
sameperson(person424, person424).
sameperson(person427, person427).
sameperson(person428, person428).
sameperson(person429, person429).
sameperson(person42, person42).
sameperson(person431, person431).
sameperson(person432, person432).
sameperson(person435, person435).
sameperson(person45, person45).
sameperson(person46, person46).
sameperson(person51, person51).
sameperson(person52, person52).
sameperson(person57, person57).
sameperson(person58, person58).
sameperson(person5, person5).
sameperson(person61, person61).
sameperson(person63, person63).
sameperson(person64, person64).
sameperson(person68, person68).
sameperson(person6, person6).
sameperson(person70, person70).
sameperson(person72, person72).
sameperson(person73, person73).
sameperson(person75, person75).
sameperson(person76, person76).
sameperson(person77, person77).
sameperson(person79, person79).
sameperson(person7, person7).
sameperson(person81, person81).
sameperson(person83, person83).
sameperson(person85, person85).
sameperson(person86, person86).
sameperson(person87, person87).
sameperson(person88, person88).
sameperson(person90, person90).
sameperson(person94, person94).
sameperson(person96, person96).
sameperson(person9, person9).
sameproject(project0, project0).
sameproject(project100, project100).
sameproject(project101, project101).
sameproject(project102, project102).
sameproject(project103, project103).
sameproject(project104, project104).
sameproject(project105, project105).
sameproject(project106, project106).
sameproject(project107, project107).
sameproject(project108, project108).
sameproject(project111, project111).
sameproject(project113, project113).
sameproject(project115, project115).
sameproject(project116, project116).
sameproject(project117, project117).
sameproject(project118, project118).
sameproject(project119, project119).
sameproject(project11, project11).
sameproject(project120, project120).
sameproject(project121, project121).
sameproject(project123, project123).
sameproject(project124, project124).
sameproject(project126, project126).
sameproject(project127, project127).
sameproject(project12, project12).
sameproject(project130, project130).
sameproject(project131, project131).
sameproject(project132, project132).
sameproject(project133, project133).
sameproject(project135, project135).
sameproject(project136, project136).
sameproject(project139, project139).
sameproject(project13, project13).
sameproject(project140, project140).
sameproject(project141, project141).
sameproject(project142, project142).
sameproject(project143, project143).
sameproject(project145, project145).
sameproject(project146, project146).
sameproject(project147, project147).
sameproject(project149, project149).
sameproject(project150, project150).
sameproject(project151, project151).
sameproject(project152, project152).
sameproject(project15, project15).
sameproject(project17, project17).
sameproject(project18, project18).
sameproject(project19, project19).
sameproject(project1, project1).
sameproject(project20, project20).
sameproject(project21, project21).
sameproject(project22, project22).
sameproject(project23, project23).
sameproject(project24, project24).
sameproject(project25, project25).
sameproject(project29, project29).
sameproject(project2, project2).
sameproject(project33, project33).
sameproject(project34, project34).
sameproject(project35, project35).
sameproject(project36, project36).
sameproject(project38, project38).
sameproject(project3, project3).
sameproject(project41, project41).
sameproject(project42, project42).
sameproject(project45, project45).
sameproject(project46, project46).
sameproject(project47, project47).
sameproject(project48, project48).
sameproject(project49, project49).
sameproject(project50, project50).
sameproject(project51, project51).
sameproject(project52, project52).
sameproject(project53, project53).
sameproject(project54, project54).
sameproject(project56, project56).
sameproject(project57, project57).
sameproject(project58, project58).
sameproject(project59, project59).
sameproject(project5, project5).
sameproject(project61, project61).
sameproject(project62, project62).
sameproject(project63, project63).
sameproject(project64, project64).
sameproject(project65, project65).
sameproject(project66, project66).
sameproject(project69, project69).
sameproject(project6, project6).
sameproject(project70, project70).
sameproject(project71, project71).
sameproject(project73, project73).
sameproject(project74, project74).
sameproject(project76, project76).
sameproject(project77, project77).
sameproject(project78, project78).
sameproject(project79, project79).
sameproject(project7, project7).
sameproject(project81, project81).
sameproject(project82, project82).
sameproject(project83, project83).
sameproject(project84, project84).
sameproject(project85, project85).
sameproject(project86, project86).
sameproject(project87, project87).
sameproject(project88, project88).
sameproject(project89, project89).
sameproject(project90, project90).
sameproject(project91, project91).
sameproject(project92, project92).
sameproject(project94, project94).
sameproject(project95, project95).
sameproject(project96, project96).
sameproject(project97, project97).
sameproject(project98, project98).
sameproject(project9, project9).
student(person102).
student(person105).
student(person108).
student(person113).
student(person118).
student(person119).
student(person122).
