samebib(class_250,class_327).
samebib(class_591,class_571).
samebib(class_591,class_572).
samebib(class_592,class_551).
samebib(class_592,class_552).
samebib(class_592,class_553).
samebib(class_592,class_554).
samebib(class_592,class_555).
samebib(class_592,class_556).
samebib(class_592,class_557).
samebib(class_592,class_558).
samebib(class_592,class_559).
samebib(class_592,class_560).
samebib(class_592,class_561).
samebib(class_592,class_562).
samebib(class_592,class_563).
samebib(class_592,class_564).
samebib(class_592,class_565).
samebib(class_592,class_566).
samebib(class_592,class_567).
samebib(class_592,class_568).
samebib(class_592,class_569).
samebib(class_592,class_570).
samebib(class_592,class_571).
samebib(class_592,class_572).
samebib(class_911,class_930).
samebib(class_911,class_931).
samebib(class_911,class_932).
samebib(class_911,class_933).
samebib(class_911,class_934).
samebib(class_911,class_935).
samebib(class_911,class_936).
samebib(class_911,class_937).
samebib(class_911,class_938).
samebib(class_911,class_939).
samebib(class_911,class_940).
samebib(class_911,class_941).
samebib(class_911,class_942).
samebib(class_911,class_943).
samebib(class_911,class_944).
samebib(class_911,class_945).
samebib(class_911,class_946).
samebib(class_911,class_947).
samebib(class_911,class_948).
samebib(class_911,class_949).
samebib(class_911,class_950).
samebib(class_911,class_951).
samebib(class_911,class_952).
samebib(class_911,class_953).
samebib(class_911,class_954).
samebib(class_911,class_955).
samebib(class_911,class_956).
samebib(class_911,class_958).
samebib(class_911,class_959).
samebib(class_911,class_960).
samebib(class_911,class_961).
samebib(class_911,class_962).
samebib(class_911,class_963).
samebib(class_911,class_964).
samebib(class_911,class_965).
samebib(class_911,class_966).
samebib(class_911,class_967).
samebib(class_911,class_968).
samebib(class_911,class_969).
samebib(class_911,class_970).
samebib(class_911,class_972).
samebib(class_911,class_1044).
samebib(class_911,class_1047).
samebib(class_912,class_930).
samebib(class_912,class_931).
samebib(class_912,class_932).
samebib(class_912,class_933).
samebib(class_912,class_934).
samebib(class_912,class_935).
samebib(class_912,class_936).
samebib(class_912,class_937).
samebib(class_912,class_938).
samebib(class_912,class_939).
samebib(class_912,class_940).
samebib(class_912,class_941).
samebib(class_912,class_942).
samebib(class_912,class_943).
samebib(class_912,class_944).
samebib(class_912,class_945).
samebib(class_912,class_946).
samebib(class_912,class_947).
samebib(class_912,class_948).
samebib(class_912,class_949).
samebib(class_912,class_950).
samebib(class_912,class_951).
samebib(class_912,class_952).
samebib(class_912,class_953).
samebib(class_912,class_954).
samebib(class_912,class_955).
samebib(class_912,class_956).
samebib(class_912,class_958).
samebib(class_912,class_959).
samebib(class_912,class_960).
samebib(class_912,class_961).
samebib(class_912,class_962).
samebib(class_912,class_963).
samebib(class_912,class_964).
samebib(class_912,class_965).
samebib(class_912,class_966).
samebib(class_912,class_967).
samebib(class_912,class_968).
samebib(class_912,class_969).
samebib(class_912,class_970).
samebib(class_912,class_972).
samebib(class_912,class_1044).
samebib(class_912,class_1047).
samebib(class_913,class_930).
samebib(class_913,class_931).
samebib(class_913,class_932).
samebib(class_913,class_933).
samebib(class_913,class_934).
samebib(class_913,class_935).
samebib(class_913,class_936).
samebib(class_913,class_937).
samebib(class_913,class_938).
samebib(class_913,class_939).
samebib(class_913,class_940).
samebib(class_913,class_941).
samebib(class_913,class_942).
samebib(class_913,class_943).
samebib(class_913,class_944).
samebib(class_913,class_945).
samebib(class_913,class_946).
samebib(class_913,class_947).
samebib(class_913,class_948).
samebib(class_913,class_949).
samebib(class_913,class_950).
samebib(class_913,class_951).
samebib(class_913,class_952).
samebib(class_913,class_953).
samebib(class_913,class_954).
samebib(class_913,class_955).
samebib(class_913,class_956).
samebib(class_913,class_958).
samebib(class_913,class_959).
samebib(class_913,class_960).
samebib(class_913,class_961).
samebib(class_913,class_962).
samebib(class_913,class_963).
samebib(class_913,class_964).
samebib(class_913,class_965).
samebib(class_913,class_966).
samebib(class_913,class_967).
samebib(class_913,class_968).
samebib(class_913,class_969).
samebib(class_913,class_970).
samebib(class_913,class_972).
samebib(class_913,class_1044).
samebib(class_913,class_1047).
samebib(class_914,class_930).
samebib(class_914,class_931).
samebib(class_914,class_932).
samebib(class_914,class_933).
samebib(class_914,class_934).
samebib(class_914,class_935).
samebib(class_914,class_936).
samebib(class_914,class_937).
samebib(class_914,class_938).
samebib(class_914,class_939).
samebib(class_914,class_940).
samebib(class_914,class_941).
samebib(class_914,class_942).
samebib(class_914,class_943).
samebib(class_914,class_944).
samebib(class_914,class_945).
samebib(class_914,class_946).
samebib(class_914,class_947).
samebib(class_914,class_948).
samebib(class_914,class_949).
samebib(class_914,class_950).
samebib(class_914,class_951).
samebib(class_914,class_952).
samebib(class_914,class_953).
samebib(class_914,class_954).
samebib(class_914,class_955).
samebib(class_914,class_956).
samebib(class_914,class_958).
samebib(class_914,class_959).
samebib(class_914,class_960).
samebib(class_914,class_961).
samebib(class_914,class_962).
samebib(class_914,class_963).
samebib(class_914,class_964).
samebib(class_914,class_965).
samebib(class_914,class_966).
samebib(class_914,class_967).
samebib(class_914,class_968).
samebib(class_914,class_969).
samebib(class_914,class_970).
samebib(class_914,class_972).
samebib(class_914,class_1044).
samebib(class_914,class_1047).
samebib(class_917,class_930).
samebib(class_917,class_931).
samebib(class_917,class_932).
samebib(class_917,class_933).
samebib(class_917,class_934).
samebib(class_917,class_935).
samebib(class_917,class_936).
samebib(class_917,class_937).
samebib(class_917,class_938).
samebib(class_917,class_939).
samebib(class_917,class_940).
samebib(class_917,class_941).
samebib(class_917,class_942).
samebib(class_917,class_943).
samebib(class_917,class_944).
samebib(class_917,class_945).
samebib(class_917,class_946).
samebib(class_917,class_947).
samebib(class_917,class_948).
samebib(class_917,class_949).
samebib(class_917,class_950).
samebib(class_917,class_951).
samebib(class_917,class_952).
samebib(class_917,class_953).
samebib(class_917,class_954).
samebib(class_917,class_955).
samebib(class_917,class_956).
samebib(class_917,class_958).
samebib(class_917,class_959).
samebib(class_917,class_960).
samebib(class_917,class_961).
samebib(class_917,class_962).
samebib(class_917,class_963).
samebib(class_917,class_964).
samebib(class_917,class_965).
samebib(class_917,class_966).
samebib(class_917,class_967).
samebib(class_917,class_968).
samebib(class_917,class_969).
samebib(class_917,class_970).
samebib(class_917,class_972).
samebib(class_917,class_1044).
samebib(class_917,class_1047).
samebib(class_918,class_930).
samebib(class_918,class_931).
samebib(class_918,class_932).
samebib(class_918,class_933).
samebib(class_918,class_934).
samebib(class_918,class_935).
samebib(class_918,class_936).
samebib(class_918,class_937).
samebib(class_918,class_938).
samebib(class_918,class_939).
samebib(class_918,class_940).
samebib(class_918,class_941).
samebib(class_918,class_942).
samebib(class_918,class_943).
samebib(class_918,class_944).
samebib(class_918,class_945).
samebib(class_918,class_946).
samebib(class_918,class_947).
samebib(class_918,class_948).
samebib(class_918,class_949).
samebib(class_918,class_950).
samebib(class_918,class_951).
samebib(class_918,class_952).
samebib(class_918,class_953).
samebib(class_918,class_954).
samebib(class_918,class_955).
samebib(class_918,class_956).
samebib(class_918,class_958).
samebib(class_918,class_959).
samebib(class_918,class_960).
samebib(class_918,class_961).
samebib(class_918,class_962).
samebib(class_918,class_963).
samebib(class_918,class_964).
samebib(class_918,class_965).
samebib(class_918,class_966).
samebib(class_918,class_967).
samebib(class_918,class_968).
samebib(class_918,class_969).
samebib(class_918,class_970).
samebib(class_918,class_972).
samebib(class_918,class_1044).
samebib(class_918,class_1047).
samebib(class_919,class_930).
samebib(class_919,class_931).
samebib(class_919,class_932).
samebib(class_919,class_933).
samebib(class_919,class_934).
samebib(class_919,class_935).
samebib(class_919,class_936).
samebib(class_919,class_937).
samebib(class_919,class_938).
samebib(class_919,class_939).
samebib(class_919,class_940).
samebib(class_919,class_941).
samebib(class_919,class_942).
samebib(class_919,class_943).
samebib(class_919,class_944).
samebib(class_919,class_945).
samebib(class_919,class_946).
samebib(class_919,class_947).
samebib(class_919,class_948).
samebib(class_919,class_949).
samebib(class_919,class_950).
samebib(class_919,class_951).
samebib(class_919,class_952).
samebib(class_919,class_953).
samebib(class_919,class_954).
samebib(class_919,class_955).
samebib(class_919,class_956).
samebib(class_919,class_958).
samebib(class_919,class_959).
samebib(class_919,class_960).
samebib(class_919,class_961).
samebib(class_919,class_962).
samebib(class_919,class_963).
samebib(class_919,class_964).
samebib(class_919,class_965).
samebib(class_919,class_966).
samebib(class_919,class_967).
samebib(class_919,class_968).
samebib(class_919,class_969).
samebib(class_919,class_970).
samebib(class_919,class_972).
samebib(class_919,class_1044).
samebib(class_919,class_1047).
samebib(class_920,class_930).
samebib(class_920,class_931).
samebib(class_920,class_932).
samebib(class_920,class_933).
samebib(class_920,class_934).
samebib(class_920,class_935).
samebib(class_920,class_936).
samebib(class_920,class_937).
samebib(class_920,class_938).
samebib(class_920,class_939).
samebib(class_920,class_940).
samebib(class_920,class_941).
samebib(class_920,class_942).
samebib(class_920,class_943).
samebib(class_920,class_944).
samebib(class_920,class_945).
samebib(class_920,class_946).
samebib(class_920,class_947).
samebib(class_920,class_948).
samebib(class_920,class_949).
samebib(class_920,class_950).
samebib(class_920,class_951).
samebib(class_920,class_952).
samebib(class_920,class_953).
samebib(class_920,class_954).
samebib(class_920,class_955).
samebib(class_920,class_956).
samebib(class_920,class_958).
samebib(class_920,class_959).
samebib(class_920,class_960).
samebib(class_920,class_961).
samebib(class_920,class_962).
samebib(class_920,class_963).
samebib(class_920,class_964).
samebib(class_920,class_965).
samebib(class_920,class_966).
samebib(class_920,class_967).
samebib(class_920,class_968).
samebib(class_920,class_969).
samebib(class_920,class_970).
samebib(class_920,class_972).
samebib(class_920,class_1044).
samebib(class_920,class_1047).
samebib(class_921,class_930).
samebib(class_921,class_931).
samebib(class_921,class_932).
samebib(class_921,class_933).
samebib(class_921,class_934).
samebib(class_921,class_935).
samebib(class_921,class_936).
samebib(class_921,class_937).
samebib(class_921,class_938).
samebib(class_921,class_939).
samebib(class_921,class_940).
samebib(class_921,class_941).
samebib(class_921,class_942).
samebib(class_921,class_943).
samebib(class_921,class_944).
samebib(class_921,class_945).
samebib(class_921,class_946).
samebib(class_921,class_947).
samebib(class_921,class_948).
samebib(class_921,class_949).
samebib(class_921,class_950).
samebib(class_921,class_951).
samebib(class_921,class_952).
samebib(class_921,class_953).
samebib(class_921,class_954).
samebib(class_921,class_955).
samebib(class_921,class_956).
samebib(class_921,class_958).
samebib(class_921,class_959).
samebib(class_921,class_960).
samebib(class_921,class_961).
samebib(class_921,class_962).
samebib(class_921,class_963).
samebib(class_921,class_964).
samebib(class_921,class_965).
samebib(class_921,class_966).
samebib(class_921,class_967).
samebib(class_921,class_968).
samebib(class_921,class_969).
samebib(class_921,class_970).
samebib(class_921,class_972).
samebib(class_921,class_1044).
samebib(class_921,class_1047).
samebib(class_922,class_930).
samebib(class_922,class_931).
samebib(class_922,class_932).
samebib(class_922,class_933).
samebib(class_922,class_934).
samebib(class_922,class_935).
samebib(class_922,class_936).
samebib(class_922,class_937).
samebib(class_922,class_938).
samebib(class_922,class_939).
samebib(class_922,class_940).
samebib(class_922,class_941).
samebib(class_922,class_942).
samebib(class_922,class_943).
samebib(class_922,class_944).
samebib(class_922,class_945).
samebib(class_922,class_946).
samebib(class_922,class_947).
samebib(class_922,class_948).
samebib(class_922,class_949).
samebib(class_922,class_950).
samebib(class_922,class_951).
samebib(class_922,class_952).
samebib(class_922,class_953).
samebib(class_922,class_954).
samebib(class_922,class_955).
samebib(class_922,class_956).
samebib(class_922,class_958).
samebib(class_922,class_959).
samebib(class_922,class_960).
samebib(class_922,class_961).
samebib(class_922,class_962).
samebib(class_922,class_963).
samebib(class_922,class_964).
samebib(class_922,class_965).
samebib(class_922,class_966).
samebib(class_922,class_967).
samebib(class_922,class_968).
samebib(class_922,class_969).
samebib(class_922,class_970).
samebib(class_922,class_972).
samebib(class_922,class_1044).
samebib(class_922,class_1047).
samebib(class_923,class_930).
samebib(class_923,class_931).
samebib(class_923,class_932).
samebib(class_923,class_933).
samebib(class_923,class_934).
samebib(class_923,class_935).
samebib(class_923,class_936).
samebib(class_923,class_937).
samebib(class_923,class_938).
samebib(class_923,class_939).
samebib(class_923,class_940).
samebib(class_923,class_941).
samebib(class_923,class_942).
samebib(class_923,class_943).
samebib(class_923,class_944).
samebib(class_923,class_945).
samebib(class_923,class_946).
samebib(class_923,class_947).
samebib(class_923,class_948).
samebib(class_923,class_949).
samebib(class_923,class_950).
samebib(class_923,class_951).
samebib(class_923,class_952).
samebib(class_923,class_953).
samebib(class_923,class_954).
samebib(class_923,class_955).
samebib(class_923,class_956).
samebib(class_923,class_958).
samebib(class_923,class_959).
samebib(class_923,class_960).
samebib(class_923,class_961).
samebib(class_923,class_962).
samebib(class_923,class_963).
samebib(class_923,class_964).
samebib(class_923,class_965).
samebib(class_923,class_966).
samebib(class_923,class_967).
samebib(class_923,class_968).
samebib(class_923,class_969).
samebib(class_923,class_970).
samebib(class_923,class_972).
samebib(class_923,class_1044).
samebib(class_923,class_1047).
samebib(class_924,class_930).
samebib(class_924,class_931).
samebib(class_924,class_932).
samebib(class_924,class_933).
samebib(class_924,class_934).
samebib(class_924,class_935).
samebib(class_924,class_936).
samebib(class_924,class_937).
samebib(class_924,class_938).
samebib(class_924,class_939).
samebib(class_924,class_940).
samebib(class_924,class_941).
samebib(class_924,class_942).
samebib(class_924,class_943).
samebib(class_924,class_944).
samebib(class_924,class_945).
samebib(class_924,class_946).
samebib(class_924,class_947).
samebib(class_924,class_948).
samebib(class_924,class_949).
samebib(class_924,class_950).
samebib(class_924,class_951).
samebib(class_924,class_952).
samebib(class_924,class_953).
samebib(class_924,class_954).
samebib(class_924,class_955).
samebib(class_924,class_956).
samebib(class_924,class_958).
samebib(class_924,class_959).
samebib(class_924,class_960).
samebib(class_924,class_961).
samebib(class_924,class_962).
samebib(class_924,class_963).
samebib(class_924,class_964).
samebib(class_924,class_965).
samebib(class_924,class_966).
samebib(class_924,class_967).
samebib(class_924,class_968).
samebib(class_924,class_969).
samebib(class_924,class_970).
samebib(class_924,class_972).
samebib(class_924,class_1044).
samebib(class_924,class_1047).
samebib(class_925,class_930).
samebib(class_925,class_931).
samebib(class_925,class_932).
samebib(class_925,class_933).
samebib(class_925,class_934).
samebib(class_925,class_935).
samebib(class_925,class_936).
samebib(class_925,class_937).
samebib(class_925,class_938).
samebib(class_925,class_939).
samebib(class_925,class_940).
samebib(class_925,class_941).
samebib(class_925,class_942).
samebib(class_925,class_943).
samebib(class_925,class_944).
samebib(class_925,class_945).
samebib(class_925,class_946).
samebib(class_925,class_947).
samebib(class_925,class_948).
samebib(class_925,class_949).
samebib(class_925,class_950).
samebib(class_925,class_951).
samebib(class_925,class_952).
samebib(class_925,class_953).
samebib(class_925,class_954).
samebib(class_925,class_955).
samebib(class_925,class_956).
samebib(class_925,class_958).
samebib(class_925,class_959).
samebib(class_925,class_960).
samebib(class_925,class_961).
samebib(class_925,class_962).
samebib(class_925,class_963).
samebib(class_925,class_964).
samebib(class_925,class_965).
samebib(class_925,class_966).
samebib(class_925,class_967).
samebib(class_925,class_968).
samebib(class_925,class_969).
samebib(class_925,class_970).
samebib(class_925,class_972).
samebib(class_925,class_1044).
samebib(class_925,class_1047).
samebib(class_926,class_930).
samebib(class_926,class_931).
samebib(class_926,class_932).
samebib(class_926,class_933).
samebib(class_926,class_934).
samebib(class_926,class_935).
samebib(class_926,class_936).
samebib(class_926,class_937).
samebib(class_926,class_938).
samebib(class_926,class_939).
samebib(class_926,class_940).
samebib(class_926,class_941).
samebib(class_926,class_942).
samebib(class_926,class_943).
samebib(class_926,class_944).
samebib(class_926,class_945).
samebib(class_926,class_946).
samebib(class_926,class_947).
samebib(class_926,class_948).
samebib(class_926,class_949).
samebib(class_926,class_950).
samebib(class_926,class_951).
samebib(class_926,class_952).
samebib(class_926,class_953).
samebib(class_926,class_954).
samebib(class_926,class_955).
samebib(class_926,class_956).
samebib(class_926,class_958).
samebib(class_926,class_959).
samebib(class_926,class_960).
samebib(class_926,class_961).
samebib(class_926,class_962).
samebib(class_926,class_963).
samebib(class_926,class_964).
samebib(class_926,class_965).
samebib(class_926,class_966).
samebib(class_926,class_967).
samebib(class_926,class_968).
samebib(class_926,class_969).
samebib(class_926,class_970).
samebib(class_926,class_972).
samebib(class_926,class_1044).
samebib(class_926,class_1047).
samebib(class_927,class_930).
samebib(class_927,class_931).
samebib(class_927,class_932).
samebib(class_927,class_933).
samebib(class_927,class_934).
samebib(class_927,class_935).
samebib(class_927,class_936).
samebib(class_927,class_937).
samebib(class_927,class_938).
samebib(class_927,class_939).
samebib(class_927,class_940).
samebib(class_927,class_941).
samebib(class_927,class_942).
samebib(class_927,class_943).
samebib(class_927,class_944).
samebib(class_927,class_945).
samebib(class_927,class_946).
samebib(class_927,class_947).
samebib(class_927,class_948).
samebib(class_927,class_949).
samebib(class_927,class_950).
samebib(class_927,class_951).
samebib(class_927,class_952).
samebib(class_927,class_953).
samebib(class_927,class_954).
samebib(class_927,class_955).
samebib(class_927,class_956).
samebib(class_927,class_958).
samebib(class_927,class_959).
samebib(class_927,class_960).
samebib(class_927,class_961).
samebib(class_927,class_962).
samebib(class_927,class_963).
samebib(class_927,class_964).
samebib(class_927,class_965).
samebib(class_927,class_966).
samebib(class_927,class_967).
samebib(class_927,class_968).
samebib(class_927,class_969).
samebib(class_927,class_970).
samebib(class_927,class_972).
samebib(class_927,class_1044).
samebib(class_927,class_1047).
samebib(class_928,class_930).
samebib(class_928,class_931).
samebib(class_928,class_932).
samebib(class_928,class_933).
samebib(class_928,class_934).
samebib(class_928,class_935).
samebib(class_928,class_936).
samebib(class_928,class_937).
samebib(class_928,class_938).
samebib(class_928,class_939).
samebib(class_928,class_940).
samebib(class_928,class_941).
samebib(class_928,class_942).
samebib(class_928,class_943).
samebib(class_928,class_944).
samebib(class_928,class_945).
samebib(class_928,class_946).
samebib(class_928,class_947).
samebib(class_928,class_948).
samebib(class_928,class_949).
samebib(class_928,class_950).
samebib(class_928,class_951).
samebib(class_928,class_952).
samebib(class_928,class_953).
samebib(class_928,class_954).
samebib(class_928,class_955).
samebib(class_928,class_956).
samebib(class_928,class_958).
samebib(class_928,class_959).
samebib(class_928,class_960).
samebib(class_928,class_961).
samebib(class_928,class_962).
samebib(class_928,class_963).
samebib(class_928,class_964).
samebib(class_928,class_965).
samebib(class_928,class_966).
samebib(class_928,class_967).
samebib(class_928,class_968).
samebib(class_928,class_969).
samebib(class_928,class_970).
samebib(class_928,class_972).
samebib(class_928,class_1044).
samebib(class_928,class_1047).
samebib(class_929,class_930).
samebib(class_929,class_931).
samebib(class_929,class_932).
samebib(class_929,class_933).
samebib(class_929,class_934).
samebib(class_929,class_935).
samebib(class_929,class_936).
samebib(class_929,class_937).
samebib(class_929,class_938).
samebib(class_929,class_939).
samebib(class_929,class_940).
samebib(class_929,class_941).
samebib(class_929,class_942).
samebib(class_929,class_943).
samebib(class_929,class_944).
samebib(class_929,class_945).
samebib(class_929,class_946).
samebib(class_929,class_947).
samebib(class_929,class_948).
samebib(class_929,class_949).
samebib(class_929,class_950).
samebib(class_929,class_951).
samebib(class_929,class_952).
samebib(class_929,class_953).
samebib(class_929,class_954).
samebib(class_929,class_955).
samebib(class_929,class_956).
samebib(class_929,class_958).
samebib(class_929,class_959).
samebib(class_929,class_960).
samebib(class_929,class_961).
samebib(class_929,class_962).
samebib(class_929,class_963).
samebib(class_929,class_964).
samebib(class_929,class_965).
samebib(class_929,class_966).
samebib(class_929,class_967).
samebib(class_929,class_968).
samebib(class_929,class_969).
samebib(class_929,class_970).
samebib(class_929,class_972).
samebib(class_929,class_1044).
samebib(class_929,class_1047).
samebib(class_930,class_911).
samebib(class_930,class_912).
samebib(class_930,class_913).
samebib(class_930,class_914).
samebib(class_930,class_917).
samebib(class_930,class_918).
samebib(class_930,class_919).
samebib(class_930,class_920).
samebib(class_930,class_921).
samebib(class_930,class_922).
samebib(class_930,class_923).
samebib(class_930,class_924).
samebib(class_930,class_925).
samebib(class_930,class_926).
samebib(class_930,class_927).
samebib(class_930,class_928).
samebib(class_930,class_929).
samebib(class_930,class_1025).
samebib(class_930,class_1031).
samebib(class_930,class_1033).
samebib(class_930,class_1044).
samebib(class_930,class_1047).
samebib(class_931,class_911).
samebib(class_931,class_912).
samebib(class_931,class_913).
samebib(class_931,class_914).
samebib(class_931,class_917).
samebib(class_931,class_918).
samebib(class_931,class_919).
samebib(class_931,class_920).
samebib(class_931,class_921).
samebib(class_931,class_922).
samebib(class_931,class_923).
samebib(class_931,class_924).
samebib(class_931,class_925).
samebib(class_931,class_926).
samebib(class_931,class_927).
samebib(class_931,class_928).
samebib(class_931,class_929).
samebib(class_931,class_1025).
samebib(class_931,class_1031).
samebib(class_931,class_1033).
samebib(class_931,class_1044).
samebib(class_931,class_1047).
samebib(class_932,class_911).
samebib(class_932,class_912).
samebib(class_932,class_913).
samebib(class_932,class_914).
samebib(class_932,class_917).
samebib(class_932,class_918).
samebib(class_932,class_919).
samebib(class_932,class_920).
samebib(class_932,class_921).
samebib(class_932,class_922).
samebib(class_932,class_923).
samebib(class_932,class_924).
samebib(class_932,class_925).
samebib(class_932,class_926).
samebib(class_932,class_927).
samebib(class_932,class_928).
samebib(class_932,class_929).
samebib(class_932,class_1025).
samebib(class_932,class_1027).
samebib(class_932,class_1028).
samebib(class_932,class_1030).
samebib(class_932,class_1031).
samebib(class_932,class_1032).
samebib(class_932,class_1033).
samebib(class_932,class_1044).
samebib(class_932,class_1047).
samebib(class_933,class_911).
samebib(class_933,class_912).
samebib(class_933,class_913).
samebib(class_933,class_914).
samebib(class_933,class_917).
samebib(class_933,class_918).
samebib(class_933,class_919).
samebib(class_933,class_920).
samebib(class_933,class_921).
samebib(class_933,class_922).
samebib(class_933,class_923).
samebib(class_933,class_924).
samebib(class_933,class_925).
samebib(class_933,class_926).
samebib(class_933,class_927).
samebib(class_933,class_928).
samebib(class_933,class_929).
samebib(class_933,class_1025).
samebib(class_933,class_1027).
samebib(class_933,class_1028).
samebib(class_933,class_1030).
samebib(class_933,class_1031).
samebib(class_933,class_1032).
samebib(class_933,class_1033).
samebib(class_933,class_1044).
samebib(class_933,class_1047).
samebib(class_934,class_911).
samebib(class_934,class_912).
samebib(class_934,class_913).
samebib(class_934,class_914).
samebib(class_934,class_917).
samebib(class_934,class_918).
samebib(class_934,class_919).
samebib(class_934,class_920).
samebib(class_934,class_921).
samebib(class_934,class_922).
samebib(class_934,class_923).
samebib(class_934,class_924).
samebib(class_934,class_925).
samebib(class_934,class_926).
samebib(class_934,class_927).
samebib(class_934,class_928).
samebib(class_934,class_929).
samebib(class_934,class_1025).
samebib(class_934,class_1027).
samebib(class_934,class_1028).
samebib(class_934,class_1030).
samebib(class_934,class_1031).
samebib(class_934,class_1032).
samebib(class_934,class_1033).
samebib(class_934,class_1044).
samebib(class_934,class_1047).
samebib(class_935,class_911).
samebib(class_935,class_912).
samebib(class_935,class_913).
samebib(class_935,class_914).
samebib(class_935,class_917).
samebib(class_935,class_918).
samebib(class_935,class_919).
samebib(class_935,class_920).
samebib(class_935,class_921).
samebib(class_935,class_922).
samebib(class_935,class_923).
samebib(class_935,class_924).
samebib(class_935,class_925).
samebib(class_935,class_926).
samebib(class_935,class_927).
samebib(class_935,class_928).
samebib(class_935,class_929).
samebib(class_935,class_1025).
samebib(class_935,class_1027).
samebib(class_935,class_1028).
samebib(class_935,class_1030).
samebib(class_935,class_1031).
samebib(class_935,class_1032).
samebib(class_935,class_1033).
samebib(class_935,class_1044).
samebib(class_935,class_1047).
samebib(class_936,class_911).
samebib(class_936,class_912).
samebib(class_936,class_913).
samebib(class_936,class_914).
samebib(class_936,class_917).
samebib(class_936,class_918).
samebib(class_936,class_919).
samebib(class_936,class_920).
samebib(class_936,class_921).
samebib(class_936,class_922).
samebib(class_936,class_923).
samebib(class_936,class_924).
samebib(class_936,class_925).
samebib(class_936,class_926).
samebib(class_936,class_927).
samebib(class_936,class_928).
samebib(class_936,class_929).
samebib(class_936,class_1025).
samebib(class_936,class_1027).
samebib(class_936,class_1028).
samebib(class_936,class_1030).
samebib(class_936,class_1031).
samebib(class_936,class_1032).
samebib(class_936,class_1033).
samebib(class_936,class_1044).
samebib(class_936,class_1047).
samebib(class_937,class_911).
samebib(class_937,class_912).
samebib(class_937,class_913).
samebib(class_937,class_914).
samebib(class_937,class_917).
samebib(class_937,class_918).
samebib(class_937,class_919).
samebib(class_937,class_920).
samebib(class_937,class_921).
samebib(class_937,class_922).
samebib(class_937,class_923).
samebib(class_937,class_924).
samebib(class_937,class_925).
samebib(class_937,class_926).
samebib(class_937,class_927).
samebib(class_937,class_928).
samebib(class_937,class_929).
samebib(class_937,class_1025).
samebib(class_937,class_1027).
samebib(class_937,class_1028).
samebib(class_937,class_1030).
samebib(class_937,class_1031).
samebib(class_937,class_1032).
