workedunder(aalancpeterson, ametcalfestephen).
workedunder(astefanpetrov, amarinovichanton).
workedunder(astephentobolowsky, averhoevenpauli).
workedunder(astevekuhn, amillergeorgei).
workedunder(astoychomazgalov, apunchevborislav).
workedunder(astoychomazgalov, asurchadzhievstefani).
workedunder(astoychomazgalov, atraykovatanas).
workedunder(asydneypollack, aaltmanroberti).
workedunder(aterenceharvey, acatonjonesmichael).
workedunder(atimberrington, acatonjonesmichael).
workedunder(atimothypaulperez, asoderberghsteven).
workedunder(atimrobbins, aaltmanroberti).
workedunder(atizianalodato, abattiatofranco).
workedunder(atonygoldwyn, apakulaalanj).
workedunder(atzenokandov, asurchadzhievstefani).
workedunder(atzvetolyubrakovski, amarinovichanton).
workedunder(avannifois, asciveresmarianna).
workedunder(aviktordanchenko, asurchadzhievstefani).
workedunder(avincentdonofrio, aaltmanroberti).
workedunder(avincenzocrivello, agrimaldiaurelioi).
workedunder(avyarakovacheva, amarinovichanton).
workedunder(awayneknight, averhoevenpauli).
workedunder(awhoopigoldberg, aaltmanroberti).
workedunder(awilliamatherton, apakulaalanj).
